                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7697,                 0.7001,                0.83994,                0.99864,                0.98305,                0.99483,                0.71748,                 1.0174,                0.70335,                0.94084,               0.000614,               0.000614,               0.000614
                     37,                0.81562,                0.71359,                0.85117,                0.99888,                0.98305,                0.99467,                0.67613,                 1.0885,                0.72391,                0.95367,              0.0005744,              0.0005744,              0.0005744
                     38,                0.82112,                0.67523,                0.88677,                0.99866,                0.98305,                0.99467,                0.70307,                0.97906,                0.71285,                0.93095,              0.0005348,              0.0005348,              0.0005348
                     39,                0.77184,                 0.6579,                0.84672,                0.99888,                0.98305,                0.99467,                0.75495,                0.90324,                0.70606,                0.91088,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.7473,                0.66276,                0.84352,                0.99883,                0.98305,                0.99452,                0.74945,                0.91291,                0.67602,                0.90387,              0.0004556,              0.0004556,              0.0004556
                     41,                0.74323,                0.78097,                0.86806,                0.99864,                0.98305,                0.99422,                0.75394,                0.86344,                0.67969,                0.89815,               0.000416,               0.000416,               0.000416
                     42,                0.71257,                 0.7666,                0.85558,                 0.9986,                0.98305,                0.99452,                0.76882,                0.84249,                0.69577,                0.89311,              0.0003764,              0.0003764,              0.0003764
                     43,                0.70057,                0.77149,                 0.8405,                0.99847,                0.98305,                0.99467,                0.76545,                0.87858,                0.67177,                0.90323,              0.0003368,              0.0003368,              0.0003368
                     44,                0.71014,                0.71403,                0.85335,                0.99856,                0.98305,                0.99437,                0.73475,                0.91796,                0.64213,                0.90471,              0.0002972,              0.0002972,              0.0002972
                     45,                0.70234,                0.70974,                0.84672,                0.99862,                0.98305,                0.99467,                0.76645,                0.86023,                0.63802,                0.89474,              0.0002576,              0.0002576,              0.0002576
                     46,                0.70433,                 0.6995,                0.83807,                0.99888,                0.98305,                0.99467,                0.77439,                0.82604,                0.64218,                0.88903,               0.000218,               0.000218,               0.000218
                     47,                0.69143,                0.69154,                0.84819,                 0.9989,                0.98305,                0.99452,                0.77542,                 0.8328,                 0.6462,                0.88803,              0.0001784,              0.0001784,              0.0001784
                     48,                0.64153,                0.68329,                 0.8098,                0.99864,                0.98305,                0.99452,                0.76163,                0.86448,                0.63286,                 0.8922,              0.0001388,              0.0001388,              0.0001388
                     49,                 0.6598,                 0.6909,                0.82541,                0.99877,                0.98305,                0.99467,                0.76208,                 0.8843,                0.62927,                0.89739,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.65797,                 0.6627,                0.82775,                0.99881,                0.98305,                0.99467,                0.76035,                 0.8952,                 0.6216,                0.89984,               5.96e-05,               5.96e-05,               5.96e-05
