                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79136,                 0.6949,                0.85298,                0.99871,                0.98305,                0.99483,                0.75216,                0.92772,                0.70553,                0.90283,               0.000614,               0.000614,               0.000614
                     37,                0.81592,                0.67767,                0.85624,                      1,                 0.9985,                  0.995,                0.74003,                0.94623,                0.70595,                0.90745,              0.0005744,              0.0005744,              0.0005744
                     38,                0.69374,                0.65376,                0.84371,                      1,                0.99825,                  0.995,                0.73943,                0.98065,                0.70829,                0.91118,              0.0005348,              0.0005348,              0.0005348
                     39,                0.72658,                0.64647,                0.84631,                      1,                0.99878,                  0.995,                0.75939,                0.91766,                 0.6992,                0.90755,              0.0004952,              0.0004952,              0.0004952
                     40,                0.73347,                0.64204,                0.84067,                0.99982,                      1,                  0.995,                0.74662,                0.93539,                0.69506,                0.90833,              0.0004556,              0.0004556,              0.0004556
                     41,                0.70511,                0.78675,                0.82342,                      1,                0.99887,                  0.995,                0.75828,                0.90505,                0.69257,                 0.8899,               0.000416,               0.000416,               0.000416
                     42,                0.68828,                0.74735,                0.84459,                0.99858,                0.98305,                0.99483,                0.76384,                0.92663,                0.72102,                0.89499,              0.0003764,              0.0003764,              0.0003764
                     43,                0.70134,                0.78733,                0.84393,                 0.9984,                0.98305,                0.99452,                0.74991,                0.93316,                0.72194,                0.89445,              0.0003368,              0.0003368,              0.0003368
                     44,                0.67341,                 0.7372,                0.83362,                      1,                 0.9985,                  0.995,                0.76476,                0.91172,                 0.6881,                0.88878,              0.0002972,              0.0002972,              0.0002972
                     45,                0.67183,                0.70653,                0.83338,                      1,                0.99876,                  0.995,                0.76879,                0.89955,                  0.665,                0.88927,              0.0002576,              0.0002576,              0.0002576
                     46,                0.61802,                0.66064,                0.81863,                0.99884,                0.98305,                0.99483,                0.76458,                0.87971,                0.65889,                0.88251,               0.000218,               0.000218,               0.000218
                     47,                0.65082,                0.66031,                0.83644,                0.99888,                0.98305,                0.99467,                0.74845,                0.89856,                0.66759,                0.88285,              0.0001784,              0.0001784,              0.0001784
                     48,                0.65472,                0.67899,                0.82468,                0.99867,                0.98305,                0.99467,                0.75655,                0.89947,                0.65885,                 0.8805,              0.0001388,              0.0001388,              0.0001388
                     49,                0.69364,                0.69142,                0.82541,                0.99867,                0.98305,                0.99467,                0.75817,                0.89782,                0.65627,                0.87727,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.62022,                0.66642,                0.82613,                0.99864,                0.98305,                0.98503,                0.75344,                 0.8925,                0.65415,                0.87608,               5.96e-05,               5.96e-05,               5.96e-05
